Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,10025,NY,New York-Newark-Jersey City,New York County,New York,0,3583,0.00617804,0.030486051,0.02635348,22563
2/28/19,60657,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1,1898,0,0.030401737,0.036026201,32530
2/28/19,10023,NY,New York-Newark-Jersey City,New York County,New York,2,3997,0.009853461,0.068430901,0.061902232,29247
2/28/19,77494,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,3,2116,-0.002827521,-0.022181146,-0.033789954,31733
2/28/19,60614,IL,Chicago-Naperville-Elgin,Cook County,Chicago,4,2056,0.002437835,0.03006012,0.012807882,33465
2/28/19,79936,TX,El Paso,El Paso County,El Paso,5,1015,0.003956479,0.018054162,0.020100503,31535
2/28/19,77449,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,6,1479,0.00339213,0.016494845,0.025658807,31997
2/28/19,77084,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7,1473,0.002722941,0.013764625,0.022206801,26765
2/28/19,10002,NY,New York-Newark-Jersey City,New York County,New York,8,3826,0.001832941,0.029878869,0.040805223,9248
2/28/19,10467,NY,New York-Newark-Jersey City,Bronx County,New York,9,1876,0.005898123,0.03190319,0.04454343,7574
2/28/19,60640,IL,Chicago-Naperville-Elgin,Cook County,Chicago,10,1618,-0.002466091,0.005593536,0.020820189,22637
2/28/19,11226,NY,New York-Newark-Jersey City,Kings County,New York,11,2232,-0.000447828,0.012244898,-0.023622047,11209
2/28/19,94109,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,12,4461,-0.000224115,0.009961512,0.014786169,9585
2/28/19,10016,NY,New York-Newark-Jersey City,New York County,New York,13,3782,-0.00026434,0.019407008,0.03929651,27061
2/28/19,37013,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,Nashville,14,1501,0.00200267,0.009414929,0.034458994,22729
2/28/19,78660,TX,Austin-Round Rock,Travis County,Pflugerville,15,1644,0.000608643,0.006736069,0.014814815,23332
2/28/19,11375,NY,New York-Newark-Jersey City,Queens County,New York,16,2205,0,0.017066421,0.037158984,22764
2/28/19,11235,NY,New York-Newark-Jersey City,Kings County,New York,17,2195,-0.000455373,0.000455789,-0.034315882,17282
2/28/19,60647,IL,Chicago-Naperville-Elgin,Cook County,Chicago,18,1820,-0.000549149,0.018466704,0.028248588,20342
2/28/19,90250,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Hawthorne,19,2778,0.003250271,0.021323529,0.03618053,14888
2/28/19,37211,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,Nashville,20,1552,0.001290323,0.005832793,0.009102731,20530
2/28/19,10029,NY,New York-Newark-Jersey City,New York County,New York,21,2900,-0.00172117,0.012569832,-0.019276294,5819
2/28/19,10009,NY,New York-Newark-Jersey City,New York County,New York,22,3872,-0.000258198,0.036125234,0.033635878,9370
2/28/19,60618,IL,Chicago-Naperville-Elgin,Cook County,Chicago,23,1853,0.001621622,0.028872848,0.026592798,20898
2/28/19,10011,NY,New York-Newark-Jersey City,New York County,New York,24,4377,0.004359798,0.059037019,0.033042247,21685
2/28/19,77573,TX,Houston-The Woodlands-Sugar Land,Galveston County,League City,25,1961,0.000510204,0.005125577,-0.009095503,26037
2/28/19,77584,TX,Houston-The Woodlands-Sugar Land,Brazoria County,Pearland,26,1886,0.002658161,0.012345679,0.000530504,22788
2/28/19,10128,NY,New York-Newark-Jersey City,New York County,New York,27,3347,-0.000597193,0.018563603,0.007222389,22985
2/28/19,11201,NY,New York-Newark-Jersey City,Kings County,New York,28,3036,0.003636364,0.04294057,0.04186685,21266
2/28/19,20002,DC,Washington-Arlington-Alexandria,District of Columbia,Washington,29,2653,0.000754432,0.030691531,0.019992311,18718
2/28/19,78130,TX,San Antonio-New Braunfels,Comal County,New Braunfels,30,1485,0.002024291,0.017820425,0.024137931,21861
2/28/19,28269,NC,Charlotte-Concord-Gastonia,Mecklenburg County,Charlotte,31,1402,0.00286123,0.020378457,0.038518519,26248
2/28/19,78613,TX,Austin-Round Rock,Williamson County,Cedar Park,32,1728,0.000579039,0.005820722,0.016470588,23786
2/28/19,78572,TX,McAllen-Edinburg-Mission,Hidalgo County,Mission,33,1071,-0.007414272,-0.000932836,0.028818444,20107
2/28/19,94565,CA,San Francisco-Oakland-Hayward,Contra Costa County,Pittsburg,34,2325,0.007365685,0.037946429,0.041200179,22287
2/28/19,79912,TX,El Paso,El Paso County,El Paso,35,1269,0.004750594,0.037612428,0.045304778,20982
2/28/19,30349,GA,Atlanta-Sandy Springs-Roswell,Clayton County,Riverdale,36,1195,0.004201681,0.026632302,0.045494313,24020
2/28/19,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,37,3933,-0.00253614,0.00949692,0.02368558,11104
2/28/19,20009,DC,Washington-Arlington-Alexandria,District of Columbia,Washington,38,2582,0.001163242,0.012152097,-0.028958255,16097
2/28/19,75052,TX,Dallas-Fort Worth-Arlington,Dallas County,Grand Prairie,39,1620,0.003095975,0.014402004,0.021437579,25215
2/28/19,37042,TN,Clarksville,Montgomery County,Clarksville,40,961,0.006282723,0.016931217,0.020169851,26354
2/28/19,77433,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,41,1783,-0.000560538,-0.004466778,0.01943968,25016
2/28/19,73099,OK,Oklahoma City,Canadian County,Yukon,42,1262,0.00317965,0.012841091,0.020210186,25773
2/28/19,10462,NY,New York-Newark-Jersey City,Bronx County,New York,43,1780,0.005081875,0.075528701,0.069711538,18784
2/28/19,10456,NY,New York-Newark-Jersey City,Bronx County,New York,44,2071,0.009259259,0.059335038,0.092299578,3386
2/28/19,11206,NY,New York-Newark-Jersey City,Kings County,New York,45,2570,-0.000777605,0.019436731,-0.003103181,9003
2/28/19,77429,TX,Houston-The Woodlands-Sugar Land,Harris County,Cypress,46,1786,0.001121076,0.011325028,0.020571429,25928
2/28/19,10003,NY,New York-Newark-Jersey City,New York County,New York,47,4209,0.004534606,0.05225,0.031617647,20773
2/28/19,77479,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,Sugar Land,48,2310,-0.001728608,0.003911343,0.006974717,26650
2/28/19,30044,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Lawrenceville,49,1431,0.006329114,0.02360515,0.053755523,23943
2/28/19,63376,MO,St. Louis,Saint Charles County,Saint Peters,50,1486,-0.001344086,0.000673401,0.032661571,27618
2/28/19,60613,IL,Chicago-Naperville-Elgin,Cook County,Chicago,51,1671,-0.004171633,0.009057971,0.022018349,25631
2/28/19,77036,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,52,1341,-0.000745156,0.021325209,0.037925697,10568
2/28/19,10463,NY,New York-Newark-Jersey City,Bronx County,New York,53,1959,0.001533742,0.02084419,-0.001529052,7653
2/28/19,30043,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,Lawrenceville,54,1551,0.00258565,0.022412657,0.038847957,24497
2/28/19,11212,NY,New York-Newark-Jersey City,Kings County,New York,55,2239,0.002238138,0.019581056,0.020510483,6042
2/28/19,11230,NY,New York-Newark-Jersey City,Kings County,New York,56,2212,0.002265519,0.016544118,-0.021238938,12110
2/28/19,60625,IL,Chicago-Naperville-Elgin,Cook County,Chicago,57,1661,-0.000601685,0.019018405,0.027210884,16952
2/28/19,11209,NY,New York-Newark-Jersey City,Kings County,New York,58,2281,0.001316945,0.025629496,-0.01426102,16061
2/28/19,60629,IL,Chicago-Naperville-Elgin,Cook County,Chicago,59,1498,0.003348962,0.028140014,0.041000695,20857
2/28/19,28277,NC,Charlotte-Concord-Gastonia,Mecklenburg County,Charlotte,60,1822,-0.003827228,-0.008705114,0,24014
2/28/19,7030,NJ,New York-Newark-Jersey City,Hudson County,Hoboken,61,2697,0,-0.006263817,-0.017844137,22459
2/28/19,78245,TX,San Antonio-New Braunfels,Bexar County,San Antonio,62,1307,0.003069839,0.011609907,0.013178295,20665
2/28/19,75287,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,63,1988,-0.000502765,0.005055612,-0.013888889,6831
2/28/19,78704,TX,Austin-Round Rock,Travis County,Austin,64,2138,0.006591337,0.038872692,0.016159696,14169
2/28/19,85032,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,65,1458,0.004824259,0.03772242,0.065010957,21678
